TF	cluster12	cluster6	cluster11	cluster16	cluster20	cluster3	cluster19	cluster18	cluster1	cluster4	cluster7	cluster9	cluster15	cluster14	cluster2	cluster8	cluster17	cluster13	cluster10	cluster5
JDP2_MA0656.1	-0.5925103994011949	-0.8648428419246719	0.13836227812028015	0.07805103583024715	-0.6809769916602902	3.686475640217057	-0.9011553413454829	0.7395587399310831	-0.5926959180808944	-0.2516668424537134	-0.3508594461344931	0.054826027643661804	-0.34508498033007623	0.006158787500996851	0.5679781004997148	-0.4124788665272957	-0.545806355554128	-0.4671856201601208	0.879201967671815	-0.14534897384246212
KLF13_MA0657.1	-0.8121542818224058	-0.49334426949136173	-0.24134925094349988	1.3067441380758251	-0.7962151268061425	2.8429231520437823	1.066443563068091	0.7139015771114046	-0.7386500560040267	0.21170034390037965	-0.7928912757384291	0.10804506248862568	-0.9112820292862253	-0.9297289765682757	1.0629533530312762	-0.9494401099434754	-0.9355622013973854	-0.11988113625378806	0.34238072174122475	0.06540680279443607
LHX6_MA0658.1	0.6379507006663764	0.2937774410156207	0.34111526828987926	-1.9536914084327228	0.5937132406515603	-2.913758803967365	-1.4827969469275837	-0.020466624802740373	0.6317888750119901	-0.4712313064834992	0.6379671656397092	0.18743927771649924	0.5993522860868422	0.5153606046711712	0.8422095182320358	0.7025955261665751	0.7258415925036754	0.24384959266037265	0.09981880400938811	-0.2108348027077918
Mafg_MA0659.3	0.5890178997719624	0.22329031522995849	0.004259423092604699	-0.3209710437544346	0.40607775956664505	-3.2713916431935317	-0.7509936226362637	-0.5881079883704028	0.22552847034314707	0.12545458502366283	0.7322552957696459	0.20226512670185937	1.0442046570403538	1.5389704113280243	-0.7825460958085783	1.0053340148764491	0.5995246746248954	-0.22735563544184528	-0.7658798936355141	0.011063289471344231
MEF2B_MA0660.1	0.5471660283437163	0.24119871849946553	1.2565270611131298	-1.0693690956540536	0.48994160911581547	-2.97644413839582	-0.2627048611563684	-1.2110967471390772	0.4879662766664879	-0.20487194359910768	0.4911606246403121	-0.3570826788061657	0.5156342938632092	0.5046888622990764	-1.071773998472085	0.6932372568892955	0.5876855919640336	-0.15292558841911214	1.454720458384377	0.0363422698628405
MEOX1_MA0661.1	0.574708955104177	0.32669812308074675	0.7262191524610639	-1.7244012905103705	0.7123410377517	-2.9983747251876824	-1.215533242435172	-0.4735913602363881	0.6492010859057662	-0.566752504047361	0.6164834848378135	-0.0011407385797860881	0.687723265675171	0.5654531652663721	0.22647693355351048	0.7274764880329007	0.7703287031148935	-0.03599566485886902	0.7987001201212136	-0.3660209890496929
MIXL1_MA0662.1	0.529333685378659	0.38727326085798247	0.9099469044205649	-1.8619402229652775	0.5624673081926886	-2.541158133425859	-1.6409166858034718	-0.38908702041936105	0.5959230442078716	-0.7738696417815816	0.5089384476394119	0.07869207041776265	0.5405573782908235	0.32490253611893966	0.8495076115056753	0.556100542538823	0.8604170994282025	0.05293116441671875	0.9881761795570507	-0.5381955285756357
MLX_MA0663.1	-0.5296673797259626	-0.5057757351357665	-0.34766532998406463	1.6185480431261359	-0.6437400711970006	3.2701478004278446	0.02103129385690191	0.3689296903061185	-0.49687262032770796	0.27564937028328923	-0.6365015110046914	-0.044415160439661636	-0.6983448909861685	-0.5313816093794238	1.2683714082855748	-0.6837800726248876	-0.7472407614102531	-0.32504530736782355	-0.1782494334148869	-0.45399772328759674
MLXIPL_MA0664.1	-0.4480548619213688	-0.46315833349540747	-0.5087673632201015	1.4372972974550708	-0.6840172861796573	3.095969458283214	-0.169509035880171	0.36195606966569904	-0.4828465556792765	0.3659872566159477	-0.5835555024970801	0.0063600286477299255	-0.6171322565654385	-0.4967201870347248	1.8027327305818024	-0.6123916260477169	-0.7171272721587831	-0.38313648220988517	-0.35780382529124655	-0.546082253068618
MSC_MA0665.1	0.7932486126125331	0.6683345891615342	0.2726698214552407	-1.2924131752503671	0.7525450200483036	-2.9116372169578133	-0.8910676153167368	-0.3656318470182235	0.7483811030311207	-0.20992590957605367	0.6828248156698721	-0.037073853080700075	0.8918092841980851	0.7489372982786748	-1.473345280503068	0.8227926045492459	0.9288379642784383	0.14313517416700117	-0.059742196494949655	-0.21267919325210255
MSX1_MA0666.2	0.40306961140944136	0.25995102247108864	1.1736990064382204	-1.405651210061016	0.5352122086202518	-2.7061777894848054	-1.4118791585523316	-0.7016215346349977	0.4498316237276725	-0.535070286537941	0.5614767360248997	-0.31035703120947433	0.5140160371617829	0.49368955475170984	-0.060917273534413285	0.48492318350073166	0.8332864580423543	-0.08230608028816262	1.7117326839591451	-0.206907761804188
MYF6_MA0667.1	0.6628665385835982	0.6221530162833098	0.08989022108437925	-1.5823713266803352	0.7116644034191094	-3.0399329913095348	-1.1516073001114258	-0.6741050581527368	0.7048749293729081	-0.3399257115262496	0.6076755206152112	-0.08950653815408548	0.7115685627285412	0.5537980486245146	0.6911534882479394	0.795637824533458	0.9619131374953165	0.3469900105807423	-0.3381367552610581	-0.24460002037361256
